id,lon,lat,height
1036.0,8.383,54.617,-191.0
1037.0,6.748,53.557,-91.4
1109.0,-3.086,58.441,-86.3
113.0,11.142,55.332,3.1
1197.0,9.987,54.995,59.5
120.0,11.926,54.573,-16.6
1236.0,11.791,57.685,-76.8
13.0,10.872,53.958,101.4
179.0,11.218,58.354,-15.1
20.0,3.596,51.442,3.5
2112.0,11.832,58.093,-36.3
2113.0,11.127,58.997,-15.7
22.0,4.12,51.977,-34.2
23.0,4.745,52.964,-78.8
236.0,5.22,53.363,-84.0
24.0,6.933,53.326,-95.8
25.0,5.409,53.176,-90.3
255.0,1.323,51.114,-18.8
286.0,-0.187,53.63,46.9
3.0,0.743,51.446,12.4
302.0,7.555,58.006,10.0
32.0,4.555,52.462,-89.0
33.0,10.605,59.678,-52.3
350.0,-1.111,50.802,35.0
361.0,-2.077,57.144,-122.2
413.0,2.917,51.233,15.5
455.0,1.868,50.969,37.8
468.0,2.367,51.048,22.5
47.0,5.73,58.974,11.4
470.0,3.2,51.35,1.5
486.0,5.113,61.934,-109.9
489.0,2.733,51.15,1.1
509.0,6.152,62.469,-28.1
62.0,10.735,59.909,-36.5
7.0,8.717,53.867,-145.3
703.0,8.596,57.119,-132.5
754.0,1.75,52.473,11.3
76.0,10.224,56.147,-23.0
789.0,10.157,54.372,91.4
8.0,11.458,53.899,60.9
80.0,8.441,55.461,-151.2
81.0,9.754,55.561,29.0
830.0,-1.14,60.154,-59.3
89.0,9.964,57.596,-94.2
9.0,4.25,51.917,-17.5
91.0,10.549,57.436,-52.8
98.0,10.828,55.288,2.6
