id,lon,lat,height
1036.0,8.383,54.617,-271.0
1037.0,6.748,53.557,-201.4
113.0,11.142,55.332,-105.9
1197.0,9.987,54.995,-44.5
120.0,11.926,54.573,-116.6
1236.0,11.791,57.685,-77.8
13.0,10.872,53.958,-88.6
179.0,11.218,58.354,-40.1
20.0,3.596,51.442,-43.5
2112.0,11.832,58.093,-62.3
22.0,4.12,51.977,-163.2
23.0,4.745,52.964,-133.8
236.0,5.22,53.363,-122.0
24.0,6.933,53.326,-234.8
25.0,5.409,53.176,-164.3
255.0,1.323,51.114,-21.8
286.0,-0.187,53.63,41.9
3.0,0.743,51.446,-57.6
302.0,7.555,58.006,87.0
32.0,4.555,52.462,-148.0
350.0,-1.111,50.802,114.0
361.0,-2.077,57.144,104.8
413.0,2.917,51.233,-46.5
455.0,1.868,50.969,132.8
468.0,2.367,51.048,-30.5
470.0,3.2,51.35,-37.5
486.0,5.113,61.934,54.1
489.0,2.733,51.15,-43.9
509.0,6.152,62.469,46.9
58.0,5.32,60.398,-12.2
62.0,10.735,59.909,-80.5
7.0,8.717,53.867,-325.3
703.0,8.596,57.119,-200.5
754.0,1.75,52.473,-44.7
76.0,10.224,56.147,-55.0
789.0,10.157,54.372,-68.6
8.0,11.458,53.899,-139.1
80.0,8.441,55.461,-229.2
81.0,9.754,55.561,-13.0
830.0,-1.14,60.154,103.7
89.0,9.964,57.596,-148.2
9.0,4.25,51.917,-195.5
91.0,10.549,57.436,-59.8
98.0,10.828,55.288,-96.4
