id,lon,lat,height
1036.0,8.383,54.617,4.0
1037.0,6.748,53.557,33.6
1109.0,-3.086,58.441,-47.3
113.0,11.142,55.332,18.1
1197.0,9.987,54.995,-5.5
120.0,11.926,54.573,17.4
1236.0,11.791,57.685,63.2
13.0,10.872,53.958,31.4
179.0,11.218,58.354,64.9
20.0,3.596,51.442,3.5
2112.0,11.832,58.093,65.7
2113.0,11.127,58.997,88.3
22.0,4.12,51.977,4.8
23.0,4.745,52.964,24.2
236.0,5.22,53.363,10.0
24.0,6.933,53.326,41.2
25.0,5.409,53.176,40.7
255.0,1.323,51.114,-7.8
286.0,-0.187,53.63,14.9
3.0,0.743,51.446,-28.6
302.0,7.555,58.006,49.0
32.0,4.555,52.462,54.0
33.0,10.605,59.678,73.7
350.0,-1.111,50.802,29.0
413.0,2.917,51.233,102.5
455.0,1.868,50.969,10.8
468.0,2.367,51.048,-29.5
47.0,5.73,58.974,-9.6
486.0,5.113,61.934,-70.9
489.0,2.733,51.15,-36.9
509.0,6.152,62.469,-76.1
58.0,5.32,60.398,-14.2
62.0,10.735,59.909,49.5
7.0,8.717,53.867,69.7
703.0,8.596,57.119,35.5
754.0,1.75,52.473,-3.7
76.0,10.224,56.147,24.0
789.0,10.157,54.372,1.4
8.0,11.458,53.899,51.9
80.0,8.441,55.461,29.8
81.0,9.754,55.561,11.0
830.0,-1.14,60.154,-6.3
89.0,9.964,57.596,77.8
9.0,4.25,51.917,31.5
91.0,10.549,57.436,70.2
936.0,-2.92,54.032,-106.1
95.0,-1.44,55.007,-17.7
98.0,10.828,55.288,39.6
