id,lon,lat,height
1036.0,8.383,54.617,-151.0
1037.0,6.748,53.557,-131.4
1109.0,-3.086,58.441,-83.3
1113.0,9.856,58.995,-115.2
113.0,11.142,55.332,-188.9
1197.0,9.987,54.995,-136.5
120.0,11.926,54.573,-155.6
1236.0,11.791,57.685,-135.8
179.0,11.218,58.354,-98.1
20.0,3.596,51.442,-84.5
2112.0,11.832,58.093,-103.3
2113.0,11.127,58.997,-101.7
22.0,4.12,51.977,-71.2
23.0,4.745,52.964,-98.8
236.0,5.22,53.363,-89.0
24.0,6.933,53.326,-162.8
25.0,5.409,53.176,-112.3
255.0,1.323,51.114,-103.8
286.0,-0.187,53.63,-90.1
3.0,0.743,51.446,-129.6
302.0,7.555,58.006,-116.0
32.0,4.555,52.462,-120.0
33.0,10.605,59.678,-172.3
350.0,-1.111,50.802,-31.0
361.0,-2.077,57.144,-78.2
413.0,2.917,51.233,-70.5
47.0,5.73,58.974,-76.6
470.0,3.2,51.35,-94.5
486.0,5.113,61.934,-99.9
489.0,2.733,51.15,-69.9
509.0,6.152,62.469,-73.1
58.0,5.32,60.398,-87.2
62.0,10.735,59.909,-164.5
7.0,8.717,53.867,-188.3
703.0,8.596,57.119,-157.5
754.0,1.75,52.473,-105.7
76.0,10.224,56.147,-177.0
8.0,11.458,53.899,-158.1
80.0,8.441,55.461,-96.2
81.0,9.754,55.561,-167.0
830.0,-1.14,60.154,-46.3
89.0,9.964,57.596,-155.2
9.0,4.25,51.917,-12.5
91.0,10.549,57.436,-91.8
936.0,-2.92,54.032,0.9
95.0,-1.44,55.007,-81.7
98.0,10.828,55.288,-172.4
