id,lon,lat,height
1036.0,8.383,54.617,90.0
1037.0,6.748,53.557,87.6
1109.0,-3.086,58.441,84.7
1113.0,9.856,58.995,55.8
113.0,11.142,55.332,81.1
1197.0,9.987,54.995,93.5
120.0,11.926,54.573,103.4
1236.0,11.791,57.685,100.2
13.0,10.872,53.958,119.4
179.0,11.218,58.354,97.9
20.0,3.596,51.442,88.5
2112.0,11.832,58.093,81.7
2113.0,11.127,58.997,83.3
22.0,4.12,51.977,60.8
23.0,4.745,52.964,70.2
236.0,5.22,53.363,49.0
24.0,6.933,53.326,81.2
25.0,5.409,53.176,41.7
255.0,1.323,51.114,68.2
286.0,-0.187,53.63,66.9
3.0,0.743,51.446,112.4
302.0,7.555,58.006,69.0
32.0,4.555,52.462,92.0
33.0,10.605,59.678,54.7
350.0,-1.111,50.802,21.0
361.0,-2.077,57.144,101.8
413.0,2.917,51.233,105.5
455.0,1.868,50.969,36.8
468.0,2.367,51.048,51.5
47.0,5.73,58.974,67.4
470.0,3.2,51.35,112.5
486.0,5.113,61.934,37.1
489.0,2.733,51.15,90.1
509.0,6.152,62.469,63.9
58.0,5.32,60.398,35.8
62.0,10.735,59.909,60.5
7.0,8.717,53.867,89.7
703.0,8.596,57.119,148.5
754.0,1.75,52.473,126.3
76.0,10.224,56.147,85.0
789.0,10.157,54.372,81.4
8.0,11.458,53.899,98.9
80.0,8.441,55.461,117.8
81.0,9.754,55.561,81.0
830.0,-1.14,60.154,96.7
89.0,9.964,57.596,124.8
9.0,4.25,51.917,17.5
91.0,10.549,57.436,84.2
936.0,-2.92,54.032,196.9
95.0,-1.44,55.007,116.3
98.0,10.828,55.288,75.6
