id,lon,lat,height
1036.0,8.383,54.617,-321.0
1037.0,6.748,53.557,-256.4
1109.0,-3.086,58.441,-193.3
113.0,11.142,55.332,-111.9
1197.0,9.987,54.995,-25.5
120.0,11.926,54.573,-38.6
1236.0,11.791,57.685,-166.8
13.0,10.872,53.958,-18.6
179.0,11.218,58.354,-149.1
20.0,3.596,51.442,-139.5
2112.0,11.832,58.093,-153.3
2113.0,11.127,58.997,-150.7
22.0,4.12,51.977,-175.2
23.0,4.745,52.964,-179.8
236.0,5.22,53.363,-211.0
24.0,6.933,53.326,-192.8
25.0,5.409,53.176,-225.3
286.0,-0.187,53.63,-71.1
3.0,0.743,51.446,-62.6
302.0,7.555,58.006,-82.0
32.0,4.555,52.462,-141.0
33.0,10.605,59.678,-218.3
350.0,-1.111,50.802,5.0
413.0,2.917,51.233,-47.5
455.0,1.868,50.969,-44.2
468.0,2.367,51.048,-73.5
47.0,5.73,58.974,-123.6
489.0,2.733,51.15,-133.9
509.0,6.152,62.469,-150.1
58.0,5.32,60.398,-145.2
62.0,10.735,59.909,-203.5
7.0,8.717,53.867,-290.3
703.0,8.596,57.119,-256.5
754.0,1.75,52.473,-107.7
76.0,10.224,56.147,-181.0
789.0,10.157,54.372,-28.6
8.0,11.458,53.899,-37.1
80.0,8.441,55.461,-257.2
81.0,9.754,55.561,-101.0
830.0,-1.14,60.154,-168.3
89.0,9.964,57.596,-224.2
9.0,4.25,51.917,-114.5
91.0,10.549,57.436,-149.8
936.0,-2.92,54.032,-141.1
