id,lon,lat,height
1036.0,8.383,54.617,-191.0
1037.0,6.748,53.557,-146.4
1109.0,-3.086,58.441,-120.3
113.0,11.142,55.332,-84.9
1197.0,9.987,54.995,-35.5
120.0,11.926,54.573,-43.6
1236.0,11.791,57.685,-63.8
13.0,10.872,53.958,-30.6
179.0,11.218,58.354,-63.1
20.0,3.596,51.442,-106.5
2112.0,11.832,58.093,-79.3
22.0,4.12,51.977,-152.2
23.0,4.745,52.964,-165.8
236.0,5.22,53.363,-172.0
24.0,6.933,53.326,-113.8
25.0,5.409,53.176,-142.3
255.0,1.323,51.114,-104.8
286.0,-0.187,53.63,-6.1
3.0,0.743,51.446,-29.6
302.0,7.555,58.006,-74.0
32.0,4.555,52.462,-136.0
33.0,10.605,59.678,-6.3
350.0,-1.111,50.802,-26.0
361.0,-2.077,57.144,-67.2
413.0,2.917,51.233,-89.5
455.0,1.868,50.969,-9.2
468.0,2.367,51.048,-116.5
470.0,3.2,51.35,-90.5
486.0,5.113,61.934,-63.9
489.0,2.733,51.15,-115.9
509.0,6.152,62.469,-85.1
58.0,5.32,60.398,-78.2
62.0,10.735,59.909,-37.5
7.0,8.717,53.867,-150.3
703.0,8.596,57.119,-167.5
754.0,1.75,52.473,-69.7
76.0,10.224,56.147,-13.0
789.0,10.157,54.372,-18.6
8.0,11.458,53.899,-15.1
80.0,8.441,55.461,-157.2
81.0,9.754,55.561,-57.0
830.0,-1.14,60.154,-70.3
89.0,9.964,57.596,-120.2
9.0,4.25,51.917,-109.5
91.0,10.549,57.436,-65.8
95.0,-1.44,55.007,-55.7
98.0,10.828,55.288,-75.4
