id,lon,lat,height
1036.0,8.383,54.617,65.0
1037.0,6.748,53.557,98.6
1109.0,-3.086,58.441,61.7
1113.0,9.856,58.995,-1.2
113.0,11.142,55.332,77.1
1197.0,9.987,54.995,118.5
120.0,11.926,54.573,48.4
1236.0,11.791,57.685,8.2
13.0,10.872,53.958,106.4
179.0,11.218,58.354,-0.1
20.0,3.596,51.442,114.5
2112.0,11.832,58.093,-46.3
2113.0,11.127,58.997,-23.7
22.0,4.12,51.977,62.8
23.0,4.745,52.964,77.2
236.0,5.22,53.363,97.0
24.0,6.933,53.326,74.2
25.0,5.409,53.176,74.7
255.0,1.323,51.114,66.2
286.0,-0.187,53.63,83.9
3.0,0.743,51.446,64.4
302.0,7.555,58.006,74.0
32.0,4.555,52.462,82.0
33.0,10.605,59.678,-51.3
350.0,-1.111,50.802,29.0
361.0,-2.077,57.144,102.8
413.0,2.917,51.233,74.5
455.0,1.868,50.969,56.8
468.0,2.367,51.048,57.5
47.0,5.73,58.974,49.4
470.0,3.2,51.35,91.5
486.0,5.113,61.934,82.1
489.0,2.733,51.15,109.1
509.0,6.152,62.469,92.9
58.0,5.32,60.398,75.8
62.0,10.735,59.909,-60.5
7.0,8.717,53.867,65.7
703.0,8.596,57.119,7.5
754.0,1.75,52.473,111.3
76.0,10.224,56.147,112.0
789.0,10.157,54.372,87.4
8.0,11.458,53.899,104.9
80.0,8.441,55.461,75.8
81.0,9.754,55.561,127.0
830.0,-1.14,60.154,77.7
89.0,9.964,57.596,28.8
9.0,4.25,51.917,38.5
91.0,10.549,57.436,85.2
936.0,-2.92,54.032,51.9
95.0,-1.44,55.007,132.3
98.0,10.828,55.288,116.6
