id,lon,lat,height
1036.0,8.383,54.617,-30.0
1037.0,6.748,53.557,-114.4
1109.0,-3.086,58.441,-55.3
1113.0,9.856,58.995,15.8
113.0,11.142,55.332,68.1
1197.0,9.987,54.995,101.5
120.0,11.926,54.573,126.4
1236.0,11.791,57.685,42.2
179.0,11.218,58.354,-88.1
20.0,3.596,51.442,-36.5
2112.0,11.832,58.093,67.7
2113.0,11.127,58.997,46.3
22.0,4.12,51.977,-44.2
23.0,4.745,52.964,-52.8
236.0,5.22,53.363,-52.0
24.0,6.933,53.326,-48.8
25.0,5.409,53.176,-70.3
255.0,1.323,51.114,-15.8
286.0,-0.187,53.63,17.9
3.0,0.743,51.446,-12.6
302.0,7.555,58.006,-25.0
32.0,4.555,52.462,-62.0
33.0,10.605,59.678,80.7
350.0,-1.111,50.802,-92.0
361.0,-2.077,57.144,-11.2
413.0,2.917,51.233,-31.5
47.0,5.73,58.974,-12.6
470.0,3.2,51.35,-31.5
486.0,5.113,61.934,5.1
489.0,2.733,51.15,-21.9
509.0,6.152,62.469,25.9
58.0,5.32,60.398,-2.2
62.0,10.735,59.909,9.5
7.0,8.717,53.867,-76.3
754.0,1.75,52.473,-10.7
76.0,10.224,56.147,-18.0
8.0,11.458,53.899,102.9
81.0,9.754,55.561,25.0
830.0,-1.14,60.154,-28.3
89.0,9.964,57.596,-6.2
9.0,4.25,51.917,-35.5
91.0,10.549,57.436,-26.8
936.0,-2.92,54.032,-88.1
95.0,-1.44,55.007,-31.7
98.0,10.828,55.288,35.6
