id,lon,lat,height
1036.0,8.383,54.617,-13.0
1037.0,6.748,53.557,-24.4
1109.0,-3.086,58.441,29.7
1113.0,9.856,58.995,-36.2
113.0,11.142,55.332,99.1
120.0,11.926,54.573,226.4
1236.0,11.791,57.685,48.2
13.0,10.872,53.958,122.4
179.0,11.218,58.354,26.9
20.0,3.596,51.442,-9.5
2112.0,11.832,58.093,9.7
2113.0,11.127,58.997,-16.7
22.0,4.12,51.977,-21.2
23.0,4.745,52.964,-42.8
236.0,5.22,53.363,-12.0
24.0,6.933,53.326,-52.8
25.0,5.409,53.176,-59.3
255.0,1.323,51.114,-14.8
286.0,-0.187,53.63,34.9
3.0,0.743,51.446,10.4
302.0,7.555,58.006,40.0
32.0,4.555,52.462,-28.0
33.0,10.605,59.678,-63.3
350.0,-1.111,50.802,-16.0
361.0,-2.077,57.144,56.8
413.0,2.917,51.233,-13.5
468.0,2.367,51.048,-50.5
47.0,5.73,58.974,40.4
470.0,3.2,51.35,29.5
486.0,5.113,61.934,87.1
489.0,2.733,51.15,-11.9
509.0,6.152,62.469,89.9
58.0,5.32,60.398,57.8
62.0,10.735,59.909,-70.5
7.0,8.717,53.867,-25.3
703.0,8.596,57.119,33.5
754.0,1.75,52.473,29.3
76.0,10.224,56.147,52.0
789.0,10.157,54.372,119.4
8.0,11.458,53.899,133.9
80.0,8.441,55.461,25.8
81.0,9.754,55.561,82.0
830.0,-1.14,60.154,41.7
89.0,9.964,57.596,-6.2
9.0,4.25,51.917,-25.5
91.0,10.549,57.436,5.2
936.0,-2.92,54.032,87.9
95.0,-1.44,55.007,33.3
98.0,10.828,55.288,85.6
