id,lon,lat,height
1036.0,8.383,54.617,-14.0
1037.0,6.748,53.557,-59.4
1109.0,-3.086,58.441,13.7
1113.0,9.856,58.995,-20.2
113.0,11.142,55.332,62.1
1197.0,9.987,54.995,33.5
120.0,11.926,54.573,45.4
1236.0,11.791,57.685,-13.8
13.0,10.872,53.958,84.4
179.0,11.218,58.354,12.9
20.0,3.596,51.442,-7.5
2112.0,11.832,58.093,-27.3
2113.0,11.127,58.997,-32.7
22.0,4.12,51.977,-17.2
23.0,4.745,52.964,-42.8
236.0,5.22,53.363,-74.0
24.0,6.933,53.326,-36.8
25.0,5.409,53.176,-66.3
255.0,1.323,51.114,-30.8
286.0,-0.187,53.63,-42.1
3.0,0.743,51.446,18.4
302.0,7.555,58.006,26.0
32.0,4.555,52.462,-24.0
33.0,10.605,59.678,-67.3
350.0,-1.111,50.802,13.0
361.0,-2.077,57.144,8.8
413.0,2.917,51.233,1.5
455.0,1.868,50.969,-11.2
468.0,2.367,51.048,17.5
47.0,5.73,58.974,34.4
470.0,3.2,51.35,-4.5
486.0,5.113,61.934,-6.9
489.0,2.733,51.15,-4.9
509.0,6.152,62.469,-12.1
58.0,5.32,60.398,-19.2
62.0,10.735,59.909,-83.5
7.0,8.717,53.867,-88.3
703.0,8.596,57.119,-70.5
754.0,1.75,52.473,10.3
76.0,10.224,56.147,5.0
789.0,10.157,54.372,44.4
8.0,11.458,53.899,18.9
80.0,8.441,55.461,-58.2
81.0,9.754,55.561,65.0
89.0,9.964,57.596,-75.2
9.0,4.25,51.917,-32.5
91.0,10.549,57.436,-52.8
936.0,-2.92,54.032,5.9
95.0,-1.44,55.007,13.3
98.0,10.828,55.288,37.6
