id,lon,lat,height
1036.0,8.383,54.617,130.0
1037.0,6.748,53.557,59.6
1109.0,-3.086,58.441,89.7
1113.0,9.856,58.995,62.8
113.0,11.142,55.332,33.1
1197.0,9.987,54.995,8.5
120.0,11.926,54.573,64.4
1236.0,11.791,57.685,84.2
13.0,10.872,53.958,90.4
179.0,11.218,58.354,86.9
20.0,3.596,51.442,63.5
2112.0,11.832,58.093,72.7
2113.0,11.127,58.997,82.3
22.0,4.12,51.977,43.8
23.0,4.745,52.964,45.2
236.0,5.22,53.363,24.0
24.0,6.933,53.326,69.2
25.0,5.409,53.176,29.7
255.0,1.323,51.114,70.2
286.0,-0.187,53.63,22.9
3.0,0.743,51.446,80.4
302.0,7.555,58.006,64.0
32.0,4.555,52.462,63.0
33.0,10.605,59.678,79.7
350.0,-1.111,50.802,91.0
361.0,-2.077,57.144,99.8
413.0,2.917,51.233,73.5
455.0,1.868,50.969,33.8
468.0,2.367,51.048,31.5
47.0,5.73,58.974,53.4
470.0,3.2,51.35,87.5
486.0,5.113,61.934,48.1
489.0,2.733,51.15,62.1
509.0,6.152,62.469,35.9
58.0,5.32,60.398,69.8
62.0,10.735,59.909,75.5
7.0,8.717,53.867,100.7
703.0,8.596,57.119,119.5
754.0,1.75,52.473,104.3
76.0,10.224,56.147,79.0
789.0,10.157,54.372,40.4
8.0,11.458,53.899,83.9
80.0,8.441,55.461,115.8
81.0,9.754,55.561,54.0
89.0,9.964,57.596,119.8
9.0,4.25,51.917,20.5
91.0,10.549,57.436,82.2
936.0,-2.92,54.032,246.9
98.0,10.828,55.288,64.6
