id,lon,lat,height
1036.0,8.383,54.617,64.0
1037.0,6.748,53.557,28.6
1109.0,-3.086,58.441,236.7
113.0,11.142,55.332,-6.9
1197.0,9.987,54.995,-13.5
120.0,11.926,54.573,-44.6
1236.0,11.791,57.685,100.2
13.0,10.872,53.958,25.4
179.0,11.218,58.354,148.9
20.0,3.596,51.442,-13.5
2112.0,11.832,58.093,148.7
2113.0,11.127,58.997,177.3
22.0,4.12,51.977,-22.2
23.0,4.745,52.964,8.2
236.0,5.22,53.363,41.0
24.0,6.933,53.326,-9.8
25.0,5.409,53.176,42.7
255.0,1.323,51.114,-44.8
286.0,-0.187,53.63,20.9
3.0,0.743,51.446,-148.6
302.0,7.555,58.006,115.0
32.0,4.555,52.462,-43.0
33.0,10.605,59.678,188.7
350.0,-1.111,50.802,135.0
361.0,-2.077,57.144,196.8
413.0,2.917,51.233,-37.5
455.0,1.868,50.969,38.8
468.0,2.367,51.048,-2.5
47.0,5.73,58.974,154.4
470.0,3.2,51.35,-42.5
486.0,5.113,61.934,218.1
489.0,2.733,51.15,-47.9
509.0,6.152,62.469,297.9
62.0,10.735,59.909,169.5
7.0,8.717,53.867,9.7
703.0,8.596,57.119,102.5
754.0,1.75,52.473,-72.7
76.0,10.224,56.147,15.0
789.0,10.157,54.372,1.4
8.0,11.458,53.899,-40.1
80.0,8.441,55.461,156.8
81.0,9.754,55.561,10.0
830.0,-1.14,60.154,243.7
89.0,9.964,57.596,113.8
9.0,4.25,51.917,10.5
91.0,10.549,57.436,84.2
936.0,-2.92,54.032,218.9
95.0,-1.44,55.007,150.3
98.0,10.828,55.288,-19.4
