id,lon,lat,height
1036.0,8.383,54.617,-365.0
1037.0,6.748,53.557,-303.4
1109.0,-3.086,58.441,-154.3
1113.0,9.856,58.995,-261.2
113.0,11.142,55.332,-184.9
1197.0,9.987,54.995,-109.5
120.0,11.926,54.573,-172.6
1236.0,11.791,57.685,-256.8
13.0,10.872,53.958,-132.6
179.0,11.218,58.354,-269.1
20.0,3.596,51.442,-171.5
2112.0,11.832,58.093,-313.3
2113.0,11.127,58.997,-295.7
22.0,4.12,51.977,-202.2
23.0,4.745,52.964,-235.8
236.0,5.22,53.363,-261.0
24.0,6.933,53.326,-278.8
25.0,5.409,53.176,-313.3
286.0,-0.187,53.63,-67.1
3.0,0.743,51.446,-123.6
302.0,7.555,58.006,-158.0
32.0,4.555,52.462,-230.0
33.0,10.605,59.678,-324.3
350.0,-1.111,50.802,-59.0
361.0,-2.077,57.144,-147.2
413.0,2.917,51.233,-147.5
47.0,5.73,58.974,-170.6
470.0,3.2,51.35,-154.5
486.0,5.113,61.934,-182.9
489.0,2.733,51.15,-127.9
509.0,6.152,62.469,-170.1
58.0,5.32,60.398,-164.2
62.0,10.735,59.909,-377.5
7.0,8.717,53.867,-356.3
703.0,8.596,57.119,-342.5
754.0,1.75,52.473,-150.7
76.0,10.224,56.147,-200.0
789.0,10.157,54.372,-126.6
8.0,11.458,53.899,-131.1
80.0,8.441,55.461,-365.2
81.0,9.754,55.561,-120.0
830.0,-1.14,60.154,-143.3
89.0,9.964,57.596,-291.2
9.0,4.25,51.917,-203.5
91.0,10.549,57.436,-206.8
936.0,-2.92,54.032,-137.1
95.0,-1.44,55.007,-131.7
