x,y
-1.1759598042,60.7411160031
6.6149725916,62.9700725976
12.8227208643,59.1162691398
8.9064232963,56.4498537744
9.1147369967,53.2209914178
1.1988163806,50.2837682418
-4.8006181916,57.2206144659
-1.1759598042,60.7411160031
