id,lon,lat,height
1036.0,8.383,54.617,34.7
1037.0,6.748,53.557,50.9
1109.0,-3.086,58.441,29.9
1113.0,9.856,58.995,44.0
113.0,11.142,55.332,90.2
1197.0,9.987,54.995,65.3
120.0,11.926,54.573,113.1
1236.0,11.791,57.685,110.3
13.0,10.872,53.958,110.8
1505.0,-0.615,54.49,-17.2
1526.0,-3.182,55.99,30.9
1548.0,0.057,50.782,-11.7
1551.0,3.682,51.62,21.8
1758.0,-3.131,51.211,-13.4
1759.0,10.95,59.036,70.3
1773.0,-2.448,50.608,9.2
1774.0,-3.018,53.45,-22.3
179.0,11.218,58.354,75.5
1794.0,-3.567,54.651,41.1
1832.0,-2.987,51.55,-40.5
1854.0,-3.825,53.332,60.7
1878.0,-1.875,50.714,-7.5
20.0,3.596,51.442,25.4
2112.0,11.832,58.093,78.2
2113.0,11.127,58.997,67.5
22.0,4.12,51.977,33.2
23.0,4.745,52.964,33.8
236.0,5.22,53.363,37.6
24.0,6.933,53.326,67.6
25.0,5.409,53.176,47.5
255.0,1.323,51.114,2.4
286.0,-0.187,53.63,60.8
302.0,7.555,58.006,-0.1
32.0,4.555,52.462,26.4
33.0,10.605,59.678,76.1
350.0,-1.111,50.802,-29.0
361.0,-2.077,57.144,37.4
413.0,2.917,51.233,15.1
468.0,2.367,51.048,-45.6
47.0,5.73,58.974,9.5
470.0,3.2,51.35,15.9
486.0,5.113,61.934,29.0
489.0,2.733,51.15,14.7
509.0,6.152,62.469,62.0
58.0,5.32,60.398,23.7
62.0,10.735,59.909,83.9
7.0,8.717,53.867,72.2
703.0,8.596,57.119,53.5
754.0,1.75,52.473,24.1
76.0,10.224,56.147,33.5
762.0,11.349,54.656,56.0
789.0,10.157,54.372,35.4
8.0,11.458,53.899,79.7
80.0,8.441,55.461,109.8
81.0,9.754,55.561,39.6
830.0,-1.14,60.154,32.1
89.0,9.964,57.596,73.1
9.0,4.25,51.917,32.9
91.0,10.549,57.436,60.0
936.0,-2.92,54.032,20.4
95.0,-1.44,55.007,41.7
98.0,10.828,55.288,56.2
