id,lon,lat,height
1036.0,8.383,54.617,-507.3
1037.0,6.748,53.557,-365.0
1109.0,-3.086,58.441,-56.6
1113.0,9.856,58.995,-162.7
1236.0,11.791,57.685,-198.3
13.0,10.872,53.958,46.7
1505.0,-0.615,54.49,2.9
1526.0,-3.182,55.99,-6.7
1548.0,0.057,50.782,-78.2
1551.0,3.682,51.62,194.1
1632.0,1.302,52.934,-97.8
1758.0,-3.131,51.211,-10.4
1759.0,10.95,59.036,-196.4
1773.0,-2.448,50.608,-45.9
1774.0,-3.018,53.45,-17.9
179.0,11.218,58.354,-182.9
1794.0,-3.567,54.651,-132.4
1832.0,-2.987,51.55,12.6
1854.0,-3.825,53.332,-59.5
1878.0,-1.875,50.714,-20.6
20.0,3.596,51.442,-184.1
2112.0,11.832,58.093,-219.8
2113.0,11.127,58.997,-195.1
22.0,4.12,51.977,-219.1
23.0,4.745,52.964,-284.1
236.0,5.22,53.363,-288.5
24.0,6.933,53.326,-370.1
25.0,5.409,53.176,-351.2
286.0,-0.187,53.63,-118.5
302.0,7.555,58.006,-86.7
32.0,4.555,52.462,-281.8
33.0,10.605,59.678,-236.1
361.0,-2.077,57.144,-84.2
413.0,2.917,51.233,-180.1
455.0,1.868,50.969,-119.2
468.0,2.367,51.048,-128.2
47.0,5.73,58.974,-84.3
486.0,5.113,61.934,-76.5
489.0,2.733,51.15,-179.1
509.0,6.152,62.469,-91.3
58.0,5.32,60.398,-74.1
62.0,10.735,59.909,-245.0
7.0,8.717,53.867,-515.1
754.0,1.75,52.473,-96.4
789.0,10.157,54.372,54.4
8.0,11.458,53.899,10.3
830.0,-1.14,60.154,-23.9
9.0,4.25,51.917,-213.8
936.0,-2.92,54.032,-142.0
95.0,-1.44,55.007,-53.2
