id,lon,lat,height
1036.0,8.383,54.617,-105.1
1037.0,6.748,53.557,-58.3
1109.0,-3.086,58.441,-80.4
1113.0,9.856,58.995,-25.0
113.0,11.142,55.332,15.8
1197.0,9.987,54.995,31.5
120.0,11.926,54.573,20.9
1236.0,11.791,57.685,-28.9
13.0,10.872,53.958,19.2
1505.0,-0.615,54.49,-83.8
1526.0,-3.182,55.99,-25.6
1548.0,0.057,50.782,-37.6
1551.0,3.682,51.62,-31.8
1632.0,1.302,52.934,-96.7
1758.0,-3.131,51.211,-24.7
1759.0,10.95,59.036,-46.7
1773.0,-2.448,50.608,0.6
1774.0,-3.018,53.45,-77.7
179.0,11.218,58.354,-25.6
1794.0,-3.567,54.651,-28.9
1832.0,-2.987,51.55,-55.5
1854.0,-3.825,53.332,0.2
1878.0,-1.875,50.714,-19.8
20.0,3.596,51.442,-38.4
2112.0,11.832,58.093,-44.1
2113.0,11.127,58.997,-25.6
22.0,4.12,51.977,-38.9
23.0,4.745,52.964,-57.4
236.0,5.22,53.363,-72.6
24.0,6.933,53.326,-52.7
25.0,5.409,53.176,-67.5
255.0,1.323,51.114,-62.5
286.0,-0.187,53.63,5.6
302.0,7.555,58.006,-7.4
32.0,4.555,52.462,-49.9
33.0,10.605,59.678,-20.5
350.0,-1.111,50.802,-50.2
361.0,-2.077,57.144,-53.3
413.0,2.917,51.233,-21.2
47.0,5.73,58.974,-11.2
470.0,3.2,51.35,-29.3
486.0,5.113,61.934,-72.1
489.0,2.733,51.15,-28.5
509.0,6.152,62.469,-94.1
58.0,5.32,60.398,-19.6
62.0,10.735,59.909,-20.7
7.0,8.717,53.867,-75.9
703.0,8.596,57.119,-59.4
754.0,1.75,52.473,-39.6
76.0,10.224,56.147,-14.2
762.0,11.349,54.656,-4.6
789.0,10.157,54.372,25.2
8.0,11.458,53.899,16.5
80.0,8.441,55.461,-51.4
81.0,9.754,55.561,-6.5
830.0,-1.14,60.154,-40.3
89.0,9.964,57.596,-13.5
9.0,4.25,51.917,-47.0
91.0,10.549,57.436,0.1
936.0,-2.92,54.032,-45.4
95.0,-1.44,55.007,-25.2
98.0,10.828,55.288,-18.6
