id,lon,lat,height
1036.0,8.383,54.617,-58.9
1037.0,6.748,53.557,-22.4
1113.0,9.856,58.995,-10.9
113.0,11.142,55.332,65.7
1197.0,9.987,54.995,94.4
120.0,11.926,54.573,118.0
1236.0,11.791,57.685,27.0
13.0,10.872,53.958,115.6
1505.0,-0.615,54.49,117.4
1526.0,-3.182,55.99,34.5
1548.0,0.057,50.782,-21.1
1551.0,3.682,51.62,-9.7
1632.0,1.302,52.934,58.6
1759.0,10.95,59.036,-6.1
1773.0,-2.448,50.608,-44.1
1774.0,-3.018,53.45,72.8
179.0,11.218,58.354,8.7
1794.0,-3.567,54.651,-61.2
1832.0,-2.987,51.55,66.2
1854.0,-3.825,53.332,-0.4
1878.0,-1.875,50.714,16.1
20.0,3.596,51.442,-5.3
2112.0,11.832,58.093,30.6
2113.0,11.127,58.997,0.4
22.0,4.12,51.977,-43.8
23.0,4.745,52.964,-36.7
236.0,5.22,53.363,-27.6
24.0,6.933,53.326,-20.6
25.0,5.409,53.176,-37.3
255.0,1.323,51.114,-13.9
286.0,-0.187,53.63,60.8
302.0,7.555,58.006,2.9
32.0,4.555,52.462,-59.2
33.0,10.605,59.678,-14.7
350.0,-1.111,50.802,-3.7
361.0,-2.077,57.144,17.3
413.0,2.917,51.233,-16.3
455.0,1.868,50.969,-8.6
468.0,2.367,51.048,-75.2
47.0,5.73,58.974,-3.1
470.0,3.2,51.35,-20.1
486.0,5.113,61.934,10.0
489.0,2.733,51.15,-46.2
509.0,6.152,62.469,-3.4
58.0,5.32,60.398,-2.9
62.0,10.735,59.909,-16.7
7.0,8.717,53.867,-27.4
703.0,8.596,57.119,-19.2
76.0,10.224,56.147,7.0
762.0,11.349,54.656,106.9
789.0,10.157,54.372,98.3
8.0,11.458,53.899,139.3
80.0,8.441,55.461,3.8
81.0,9.754,55.561,47.5
89.0,9.964,57.596,12.4
9.0,4.25,51.917,-54.8
91.0,10.549,57.436,-36.5
95.0,-1.44,55.007,29.1
98.0,10.828,55.288,131.6
