id,lon,lat,height
1036.0,8.383,54.617,62.5
1037.0,6.748,53.557,106.6
1109.0,-3.086,58.441,57.5
1113.0,9.856,58.995,102.6
1236.0,11.791,57.685,85.6
13.0,10.872,53.958,28.4
1526.0,-3.182,55.99,117.9
1548.0,0.057,50.782,100.2
1551.0,3.682,51.62,127.5
1632.0,1.302,52.934,129.9
1758.0,-3.131,51.211,104.2
1759.0,10.95,59.036,65.9
1773.0,-2.448,50.608,63.8
1774.0,-3.018,53.45,128.2
179.0,11.218,58.354,9.1
1794.0,-3.567,54.651,13.9
1854.0,-3.825,53.332,75.0
20.0,3.596,51.442,115.8
2112.0,11.832,58.093,71.7
2113.0,11.127,58.997,57.7
22.0,4.12,51.977,99.4
23.0,4.745,52.964,114.8
236.0,5.22,53.363,130.7
24.0,6.933,53.326,128.2
25.0,5.409,53.176,122.5
302.0,7.555,58.006,125.3
32.0,4.555,52.462,107.5
33.0,10.605,59.678,74.1
350.0,-1.111,50.802,107.2
413.0,2.917,51.233,113.6
455.0,1.868,50.969,112.0
468.0,2.367,51.048,89.9
47.0,5.73,58.974,115.7
470.0,3.2,51.35,98.9
486.0,5.113,61.934,87.4
489.0,2.733,51.15,96.9
509.0,6.152,62.469,58.0
58.0,5.32,60.398,90.2
62.0,10.735,59.909,63.6
7.0,8.717,53.867,129.4
754.0,1.75,52.473,141.8
789.0,10.157,54.372,14.3
8.0,11.458,53.899,53.1
830.0,-1.14,60.154,97.9
9.0,4.25,51.917,89.1
95.0,-1.44,55.007,118.3
