id,lon,lat,height
1036.0,8.383,54.617,-116.7
1037.0,6.748,53.557,-52.9
1109.0,-3.086,58.441,-61.3
1113.0,9.856,58.995,-96.5
113.0,11.142,55.332,32.7
120.0,11.926,54.573,109.8
1236.0,11.791,57.685,-75.5
13.0,10.872,53.958,98.7
1526.0,-3.182,55.99,7.7
1548.0,0.057,50.782,-26.9
1551.0,3.682,51.62,-20.3
1632.0,1.302,52.934,32.5
1758.0,-3.131,51.211,-24.3
1759.0,10.95,59.036,-94.9
1773.0,-2.448,50.608,-50.0
1774.0,-3.018,53.45,45.2
179.0,11.218,58.354,-73.5
1794.0,-3.567,54.651,-111.7
1832.0,-2.987,51.55,29.2
1854.0,-3.825,53.332,-13.6
1878.0,-1.875,50.714,12.6
20.0,3.596,51.442,-11.3
2112.0,11.832,58.093,-80.7
2113.0,11.127,58.997,-90.1
22.0,4.12,51.977,-44.8
23.0,4.745,52.964,-69.3
236.0,5.22,53.363,-59.6
24.0,6.933,53.326,-43.6
25.0,5.409,53.176,-77.2
255.0,1.323,51.114,-17.7
286.0,-0.187,53.63,62.1
302.0,7.555,58.006,-52.0
32.0,4.555,52.462,-74.9
33.0,10.605,59.678,-110.1
350.0,-1.111,50.802,-11.8
361.0,-2.077,57.144,-23.9
413.0,2.917,51.233,-21.5
455.0,1.868,50.969,-22.6
468.0,2.367,51.048,-48.6
47.0,5.73,58.974,-100.3
470.0,3.2,51.35,-37.5
486.0,5.113,61.934,-70.3
489.0,2.733,51.15,-30.0
509.0,6.152,62.469,-60.0
58.0,5.32,60.398,-58.2
62.0,10.735,59.909,-114.9
7.0,8.717,53.867,-76.5
703.0,8.596,57.119,-65.0
754.0,1.75,52.473,2.1
76.0,10.224,56.147,-4.4
762.0,11.349,54.656,87.3
789.0,10.157,54.372,83.5
8.0,11.458,53.899,118.8
80.0,8.441,55.461,-96.0
81.0,9.754,55.561,27.9
830.0,-1.14,60.154,-0.5
89.0,9.964,57.596,-61.3
9.0,4.25,51.917,-42.2
91.0,10.549,57.436,-26.6
936.0,-2.92,54.032,-88.9
95.0,-1.44,55.007,-0.0
98.0,10.828,55.288,16.8
