id,lon,lat,height
1036.0,8.383,54.617,-144.6
1037.0,6.748,53.557,-128.7
1109.0,-3.086,58.441,-76.3
1113.0,9.856,58.995,-49.4
113.0,11.142,55.332,-91.5
1197.0,9.987,54.995,5.8
120.0,11.926,54.573,-13.3
1236.0,11.791,57.685,-73.0
13.0,10.872,53.958,-11.8
1505.0,-0.615,54.49,-83.9
1526.0,-3.182,55.99,-84.3
1548.0,0.057,50.782,-64.3
1551.0,3.682,51.62,-100.0
1632.0,1.302,52.934,-29.2
1758.0,-3.131,51.211,-36.2
1759.0,10.95,59.036,-49.3
1773.0,-2.448,50.608,-5.1
1774.0,-3.018,53.45,-162.9
179.0,11.218,58.354,-44.9
1832.0,-2.987,51.55,-71.7
1854.0,-3.825,53.332,-106.3
1878.0,-1.875,50.714,-8.9
20.0,3.596,51.442,-63.1
2112.0,11.832,58.093,-58.8
2113.0,11.127,58.997,-47.7
22.0,4.12,51.977,-114.1
23.0,4.745,52.964,-104.5
236.0,5.22,53.363,-131.8
24.0,6.933,53.326,-138.3
25.0,5.409,53.176,-126.1
255.0,1.323,51.114,-90.3
286.0,-0.187,53.63,-112.8
302.0,7.555,58.006,-7.1
32.0,4.555,52.462,-113.2
33.0,10.605,59.678,-54.6
361.0,-2.077,57.144,-54.2
413.0,2.917,51.233,-72.3
455.0,1.868,50.969,-56.7
468.0,2.367,51.048,-99.0
47.0,5.73,58.974,-6.2
470.0,3.2,51.35,-85.7
486.0,5.113,61.934,-32.0
489.0,2.733,51.15,-101.2
509.0,6.152,62.469,-24.7
58.0,5.32,60.398,-40.3
62.0,10.735,59.909,-55.5
7.0,8.717,53.867,-141.0
703.0,8.596,57.119,-106.2
754.0,1.75,52.473,-82.0
76.0,10.224,56.147,-73.5
762.0,11.349,54.656,9.1
789.0,10.157,54.372,-19.0
8.0,11.458,53.899,-27.8
80.0,8.441,55.461,-123.8
81.0,9.754,55.561,-34.4
830.0,-1.14,60.154,-32.2
89.0,9.964,57.596,-84.8
9.0,4.25,51.917,-119.9
91.0,10.549,57.436,-85.1
936.0,-2.92,54.032,85.2
95.0,-1.44,55.007,-32.4
98.0,10.828,55.288,-63.0
