id,lon,lat,height
1036.0,8.383,54.617,-129.2
1037.0,6.748,53.557,-105.5
1109.0,-3.086,58.441,-43.5
1113.0,9.856,58.995,-59.8
1236.0,11.791,57.685,-59.2
13.0,10.872,53.958,56.5
1505.0,-0.615,54.49,-32.6
1526.0,-3.182,55.99,-55.6
1548.0,0.057,50.782,46.8
1551.0,3.682,51.62,-68.9
1758.0,-3.131,51.211,116.6
1759.0,10.95,59.036,-72.7
1773.0,-2.448,50.608,73.7
179.0,11.218,58.354,-54.8
1794.0,-3.567,54.651,98.1
1832.0,-2.987,51.55,172.1
1854.0,-3.825,53.332,113.0
20.0,3.596,51.442,-71.4
2112.0,11.832,58.093,-56.4
2113.0,11.127,58.997,-75.0
22.0,4.12,51.977,-78.7
23.0,4.745,52.964,-67.8
236.0,5.22,53.363,-38.9
24.0,6.933,53.326,-134.6
25.0,5.409,53.176,-56.9
302.0,7.555,58.006,-16.7
32.0,4.555,52.462,-75.6
33.0,10.605,59.678,-79.3
350.0,-1.111,50.802,76.7
361.0,-2.077,57.144,15.6
413.0,2.917,51.233,-91.1
455.0,1.868,50.969,43.4
468.0,2.367,51.048,-47.0
47.0,5.73,58.974,16.3
486.0,5.113,61.934,51.4
489.0,2.733,51.15,-104.6
509.0,6.152,62.469,35.4
58.0,5.32,60.398,23.9
62.0,10.735,59.909,-91.0
7.0,8.717,53.867,-171.5
754.0,1.75,52.473,-153.4
789.0,10.157,54.372,49.4
8.0,11.458,53.899,47.7
830.0,-1.14,60.154,26.2
9.0,4.25,51.917,-74.9
936.0,-2.92,54.032,122.0
95.0,-1.44,55.007,-93.7
