id,lon,lat,height
1036.0,8.383,54.617,-24.4
1037.0,6.748,53.557,9.0
1113.0,9.856,58.995,30.3
113.0,11.142,55.332,-4.4
1197.0,9.987,54.995,38.3
120.0,11.926,54.573,29.5
1236.0,11.791,57.685,52.0
13.0,10.872,53.958,15.1
1505.0,-0.615,54.49,111.3
1526.0,-3.182,55.99,20.3
1548.0,0.057,50.782,-14.9
1551.0,3.682,51.62,19.1
1632.0,1.302,52.934,47.9
1759.0,10.95,59.036,63.9
1773.0,-2.448,50.608,-38.0
1774.0,-3.018,53.45,122.3
179.0,11.218,58.354,50.7
1794.0,-3.567,54.651,-6.4
1832.0,-2.987,51.55,102.0
1854.0,-3.825,53.332,19.4
1878.0,-1.875,50.714,22.4
20.0,3.596,51.442,21.0
2112.0,11.832,58.093,59.4
2113.0,11.127,58.997,72.1
22.0,4.12,51.977,-28.6
23.0,4.745,52.964,-5.2
236.0,5.22,53.363,2.6
24.0,6.933,53.326,3.0
25.0,5.409,53.176,8.8
255.0,1.323,51.114,-8.5
302.0,7.555,58.006,-3.4
32.0,4.555,52.462,-31.8
33.0,10.605,59.678,70.4
350.0,-1.111,50.802,1.5
361.0,-2.077,57.144,23.0
413.0,2.917,51.233,-15.7
455.0,1.868,50.969,14.5
468.0,2.367,51.048,-59.5
47.0,5.73,58.974,22.5
470.0,3.2,51.35,-7.3
486.0,5.113,61.934,38.4
489.0,2.733,51.15,-28.1
509.0,6.152,62.469,20.3
58.0,5.32,60.398,25.3
62.0,10.735,59.909,62.3
7.0,8.717,53.867,-35.3
703.0,8.596,57.119,25.9
754.0,1.75,52.473,22.6
76.0,10.224,56.147,21.5
762.0,11.349,54.656,-12.2
789.0,10.157,54.372,11.6
8.0,11.458,53.899,21.2
80.0,8.441,55.461,62.6
81.0,9.754,55.561,0.7
89.0,9.964,57.596,43.3
9.0,4.25,51.917,-48.1
91.0,10.549,57.436,-10.4
936.0,-2.92,54.032,40.0
95.0,-1.44,55.007,18.5
98.0,10.828,55.288,-5.5
