id,lon,lat,height
1036.0,8.383,54.617,112.3
1037.0,6.748,53.557,134.1
1113.0,9.856,58.995,146.2
113.0,11.142,55.332,136.7
1197.0,9.987,54.995,137.6
120.0,11.926,54.573,190.8
1236.0,11.791,57.685,185.8
13.0,10.872,53.958,136.1
1505.0,-0.615,54.49,192.3
1526.0,-3.182,55.99,126.3
1548.0,0.057,50.782,81.3
1551.0,3.682,51.62,117.0
1632.0,1.302,52.934,110.9
1759.0,10.95,59.036,161.4
1773.0,-2.448,50.608,72.1
1774.0,-3.018,53.45,231.9
179.0,11.218,58.354,161.6
1794.0,-3.567,54.651,123.9
1832.0,-2.987,51.55,233.9
1854.0,-3.825,53.332,121.7
1878.0,-1.875,50.714,106.5
20.0,3.596,51.442,115.7
2112.0,11.832,58.093,176.3
2113.0,11.127,58.997,180.5
22.0,4.12,51.977,88.0
23.0,4.745,52.964,122.0
236.0,5.22,53.363,146.1
24.0,6.933,53.326,128.7
25.0,5.409,53.176,139.7
255.0,1.323,51.114,78.1
302.0,7.555,58.006,119.9
32.0,4.555,52.462,94.6
33.0,10.605,59.678,202.1
350.0,-1.111,50.802,97.7
413.0,2.917,51.233,76.6
455.0,1.868,50.969,127.0
468.0,2.367,51.048,107.2
47.0,5.73,58.974,159.3
470.0,3.2,51.35,77.8
486.0,5.113,61.934,228.2
489.0,2.733,51.15,57.2
509.0,6.152,62.469,231.3
58.0,5.32,60.398,182.0
62.0,10.735,59.909,205.4
7.0,8.717,53.867,128.5
703.0,8.596,57.119,164.5
754.0,1.75,52.473,102.6
76.0,10.224,56.147,133.4
762.0,11.349,54.656,156.5
789.0,10.157,54.372,135.2
8.0,11.458,53.899,154.9
80.0,8.441,55.461,255.9
81.0,9.754,55.561,126.2
830.0,-1.14,60.154,144.1
89.0,9.964,57.596,174.1
9.0,4.25,51.917,74.0
91.0,10.549,57.436,115.8
95.0,-1.44,55.007,104.2
98.0,10.828,55.288,115.0
